,val_loss,loss
0,0.005197045266367563,0.005800457820866529
1,0.00460020868767149,0.0015743555547009923
2,0.002138869791367978,0.0007874508593829342
3,0.0006726253324837474,0.0004322823551134499
4,0.000318165990805063,0.0002633714442817345
5,0.00023890929673676178,0.0001807317772802746
6,0.00020495954618838995,0.00013883882652895185
7,0.00018052595308325794,0.00011665908966779929
8,0.00016162883449374985,0.00010425905914751278
9,0.00014815330641242567,9.688046880849732e-05
10,0.00013899292449694569,9.216695644248093e-05
11,0.000132688023636103,8.890656969943657e-05
12,0.00012810565171341803,8.645921515650408e-05
13,0.00012451509128686583,8.448215527623551e-05
14,0.00012149030679187687,8.278904924672293e-05
15,0.00011880521401885166,8.127701305745719e-05
16,0.00011634402986370202,7.988726110343355e-05
17,0.0001140461878348948,7.858523356342651e-05
18,0.0001118816323718785,7.734966191567912e-05
19,0.00010982844835731696,7.616725860093406e-05
20,0.00010787021651418972,7.50291352232619e-05
21,0.00010599513995588944,7.392941673197638e-05
22,0.00010418853111010693,7.286381205751705e-05
23,0.00010244671353461644,7.182924384383424e-05
24,0.00010076154491026512,7.082343135831617e-05
